Order ID,Order Date,Customer Name,Product,Region,Salesperson,Quantity,Unit Price,Sales Amount
ORD-00001,2023-01-01,William Nguyen,Smartphone,Asia,Angela Hunter,7.0,639.15,4474.05
ORD-00002,2023-01-02,Ronald Wheeler,Tablet,South America,Jennifer Allen,15.0,301.62,4524.3
ORD-00003,2023-01-03,Shannon Jimenez,Smartphone,Europe,Amber Bailey,9.0,786.7,7080.3
ORD-00004,2023-01-04,Michael Berry,Laptop,Asia,Teresa Williams,11.0,733.49,8068.39
ORD-00005,2023-01-05,Randy Johnson,Laptop,North America,Monica Figueroa,2.0,630.99,1261.98
ORD-00006,2023-01-06,Courtney Carpenter,Tablet,South America,Charles Frazier,8.0,290.88,2327.04
ORD-00007,2023-01-07,Jennifer Curtis,Tablet,South America,Eric Robinson,1.0,268.59,268.59
ORD-00008,2023-01-08,Steven Jones,Smartphone,North America,Geoffrey Brown,15.0,707.58,10613.7
ORD-00009,2023-01-09,Lauren Johnston,Laptop,North America,Chris Griffin,1.0,582.36,582.36
ORD-00010,2023-01-10,Mrs. Victoria Sanders,Smartphone,,Phillip Allison,,950.86,
ORD-00011,2023-01-11,Miss Heidi Brown,Smartphone,Europe,Joshua Manning,13.0,675.1,8776.300000000001
ORD-00012,2023-01-12,Adam Dawson,Smartphone,Europe,Robert Fox,8.0,766.79,6134.32
ORD-00013,2023-01-13,Randy Flores,Laptop,South America,Cindy Duncan,12.0,696.05,8352.599999999999
ORD-00014,2023-01-14,Ashley Curry,Smartphone,Asia,Todd Rangel,14.0,416.59,5832.259999999999
ORD-00015,2023-01-15,Christina Nunez,Smartphone,Europe,Maria Ward,15.0,406.87,6103.05
ORD-00016,2023-01-16,Jamie Holmes,Smartphone,North America,Derek Powell,13.0,721.3,9376.9
ORD-00017,2023-01-17,Dustin Martin,Laptop,North America,Kim Pratt,13.0,429.45,5582.849999999999
ORD-00018,2023-01-18,Angela Tate,Tablet,North America,Michael York,9.0,871.54,7843.86
ORD-00019,2023-01-19,Kara Thomas,Tablet,Asia,Christina Martinez,1.0,,
ORD-00020,2023-01-20,Brittany Fisher,Laptop,North America,Brian Turner,14.0,627.11,8779.54
ORD-00021,2023-01-21,Andrea Malone,Laptop,South America,Andrea Delacruz,16.0,322.72,5163.52
ORD-00022,2023-01-22,Heather Orozco,Smartphone,North America,Ralph Joyce,3.0,867.35,2602.05
ORD-00023,2023-01-23,Michael Taylor,Smartphone,Europe,Benjamin Garcia,9.0,966.76,8700.84
ORD-00024,2023-01-24,Mr. Kevin Roberts,Smartphone,Asia,Jeremiah Foster,4.0,427.11,1708.44
ORD-00025,2023-01-25,Natalie Baldwin,Laptop,Europe,Anthony Greene,17.0,964.3,16393.1
ORD-00026,2023-01-26,Jacob Anderson,Laptop,North America,Justin Moss,4.0,261.73,1046.92
ORD-00027,2023-01-27,Joseph Russo,Laptop,North America,Deanna Thompson,1.0,419.41,419.41
ORD-00028,2023-01-28,Jimmy Waller,Tablet,Asia,Keith Jones,18.0,318.16,5726.88
ORD-00029,2023-01-29,Mark Morrison,Smartphone,South America,Christopher Wallace,13.0,,
ORD-00030,2023-01-30,Brian Flowers,Tablet,North America,Andrew Harrison,9.0,711.35,6402.150000000001
ORD-00031,2023-01-31,Jacqueline Jacobs,Laptop,Asia,Tyler Landry,10.0,199.6,1996.0
ORD-00032,2023-02-01,Shawn Hart,Smartphone,Europe,Carlos George,18.0,615.59,11080.62
ORD-00033,2023-02-02,Joshua Richardson,Smartphone,Asia,Michelle Miller,15.0,113.05,1695.75
ORD-00034,2023-02-03,Jamie Marquez,Tablet,South America,Dr. Alexis Kent,4.0,981.08,3924.32
ORD-00035,2023-02-04,Valerie Baker,Laptop,North America,Mark Carpenter,7.0,643.47,4504.29
ORD-00036,2023-02-05,Teresa Miller,Smartphone,South America,Catherine Simmons,16.0,980.55,15688.8
ORD-00037,2023-02-06,Adriana Mcmahon,Tablet,North America,Mary Reed,3.0,265.24,795.72
ORD-00038,2023-02-07,Caitlin Powers,Smartphone,,Laura Gray,4.0,753.45,3013.8
ORD-00039,2023-02-08,Shawn Rice,Laptop,,Steven Ward,8.0,797.84,6382.72
ORD-00040,2023-02-09,Terry Ramsey,Smartphone,North America,Mariah Franco,4.0,827.74,3310.96
ORD-00041,2023-02-10,Nichole King,Tablet,North America,Travis Tran,12.0,371.15,4453.799999999999
ORD-00042,2023-02-11,Barbara Brown,Tablet,Europe,John Elliott,10.0,383.65,3836.5
ORD-00043,2023-02-12,Mark Davis,Smartphone,Asia,Elizabeth Durham,17.0,687.82,11692.94
ORD-00044,2023-02-13,Richard Thompson,,North America,Raymond Duncan,19.0,231.69,4402.11
ORD-00045,2023-02-14,Sean Myers,Smartphone,South America,Casey Lindsey,4.0,774.65,3098.6
ORD-00046,2023-02-15,Ronald Medina,Tablet,Asia,Stephanie Briggs,15.0,516.52,7747.799999999999
ORD-00047,2023-02-16,Benjamin Shah,Smartphone,Europe,Daniel Mcclure,16.0,312.35,4997.6
ORD-00048,2023-02-17,Shannon Mckay,Laptop,Europe,Tony Glass,11.0,61.05,671.55
ORD-00049,2023-02-18,David Boone,Laptop,,Matthew Wolfe,17.0,631.44,10734.480000000001
ORD-00050,2023-02-19,Beth Davidson,Smartphone,Asia,William Barber,5.0,578.47,2892.3500000000004
ORD-00051,2023-02-20,Kerry Ross,Tablet,Asia,Eric Miller,12.0,471.37,5656.4400000000005
ORD-00052,2023-02-21,Ashley Lee,Tablet,Europe,Katherine Henderson,,231.28,
ORD-00053,2023-02-22,Kurt Davis,Laptop,North America,Shannon Hayes MD,1.0,228.21,228.21
ORD-00054,2023-02-23,Molly Welch PhD,Smartphone,,Richard Bullock,3.0,398.91,1196.73
ORD-00055,2023-02-24,Derek Johns,Laptop,North America,Rebecca Santos,7.0,698.37,4888.59
ORD-00056,2023-02-25,Jasmine Hurst,Smartphone,Asia,Kathryn Boyd,12.0,601.78,7221.36
ORD-00057,2023-02-26,Victoria Jackson,Laptop,,Terry Trevino,,956.4,
ORD-00058,2023-02-27,Anthony Hill,Smartphone,Asia,Brandy Baldwin,19.0,394.42,7493.9800000000005
ORD-00059,2023-02-28,Hector Robinson,Tablet,Europe,Jamie Taylor,10.0,827.31,8273.099999999999
ORD-00060,2023-03-01,George Richmond,Laptop,South America,Taylor Snyder,2.0,386.73,773.46
